,decisionType,term,naturalCourt,petitioner,petitionerState,respondent,respondentState,jurisdiction,adminAction,adminActionState,threeJudgeFdc,caseOrigin,caseOriginState,caseSource,caseSourceState,lcDisagreement,certReason,lcDisposition,lcDispositionDirection,declarationUncon,caseDisposition,caseDispositionUnusual,partyWinning,precedentAlteration,voteUnclear,issue,issueArea,decisionDirection,decisionDirectionDissent,authorityDecision1,authorityDecision2,lawType,lawSupp,majOpinWriter,majOpinAssigner,splitVote,majVotes,minVotes,justice,vote,opinion,direction,majority,firstAgreementPresent,secondAgreementPresent,yearOfCaseInitiate,yearOfDecision,argumentMade,reargMade,usCitePresent,sctCitePresent,ledCitePresent,lawMinorPresent,justiceNameEncode
threeJudgeFdc,0.02221449585878981,-0.07803134469666981,-0.06861713640742031,0.0002523020656856747,0.08665385715080834,0.07415432664996113,0.0014635429355024864,0.2727483101137458,0.060536081241755156,0.0678556836497215,1.0,-0.1426471721650958,-0.11374593825456719,-0.04081697285628454,-0.09443862520273656,-0.015995869770714214,-0.4065920983806012,-0.014066759188658507,0.10717980219425303,0.17337459891540036,0.006319959327269473,0.045430525371519655,-0.01679216820590313,0.013290994580275155,-0.012195943207853544,-0.02034123522246097,-0.02023139479937726,0.012553521413037104,0.005654929991556909,0.036693858014326945,0.036693858014326945,-0.07940456628343875,-0.07629099772324344,-0.05806837981071607,-0.048047295735247936,,-0.023822356318176557,0.03117752184788079,-0.05889604545103706,0.0091062950909487,0.04388301208046059,0.008608346176752709,-0.0007467036469453166,-0.006045646041649921,-0.014656488525215155,-0.07803134469666981,-0.07897732415376002,0.0030374291395258734,0.05766629321402178,-0.04483684923474891,-0.015694099483244968,-0.014019788115970391,-0.052485887129550435,-0.0593649436927931
caseOrigin,0.08906845356556219,-0.0787292035723511,-0.07140470131888682,-0.08537354465829107,0.03791126269984662,-0.3276643397673282,0.35864007633461215,0.03730786036467028,0.20934935708762006,0.1686162082277837,-0.1426471721650958,1.0,0.6863592694966533,0.9417341956114074,0.7494192831420846,-0.03897808630254045,0.04599812344741142,-0.08416376296085043,-0.15730280966483803,0.16174982388069628,0.027074314787447092,-0.041270957586077545,-0.006842509244551971,0.04712895658666032,0.004921887698418019,-0.13389893438602882,-0.1335977014654357,0.043349204655379024,0.01920116680189631,-0.16756500748585185,-0.16756500748585185,-0.19539950028154607,-0.21554364441671447,-0.04474445264746071,-0.07968971788331955,,0.013637571729567302,0.009848412210820192,-0.06853976371092889,0.02492471572947073,0.015233782071718953,0.05015054126856694,0.014237296608012349,0.008511686318640771,0.012936824987089833,-0.0787292035723511,-0.07840899980460472,-0.062331162822880634,-0.023349547599578857,-0.03478756223643728,-0.00023623978014692212,0.006360452890207585,-0.12949788624764544,-0.06926496732322461
caseOriginState,0.04584230887222018,-0.243970132701406,-0.2623532811726975,-0.02657405282935364,0.009257702989567032,-0.21660799361110833,0.38112239865565073,0.022197876665219746,0.12391575405694369,0.17458876869023732,-0.11374593825456719,0.6863592694966533,1.0,0.6801616395217264,0.8938852600712911,-0.04624129963144872,0.01904184397174972,-0.061814268243287895,-0.12436283697310076,0.08417073153221405,-0.0312333926310848,-0.03066678389723159,-0.025043190809381805,0.020146000806871175,-0.007948840898045045,-0.040360914210170025,-0.04012467012442892,0.027115707079976945,0.0022823410471304946,-0.11840020871077316,-0.11840020871077316,-0.12162426022766391,-0.13342351166945,-0.2174483441809141,-0.21738055753240715,,-0.005082026421825061,0.013953166897714774,-0.21866671187511819,-0.00027378863526546124,0.010694585144454977,0.032323620024956014,0.004370668616674597,0.026376470914348315,0.025305600214689757,-0.243970132701406,-0.24365098124168222,-0.016969494820905137,0.015187168534134866,-0.05404874189999562,-0.0026148166414055305,-0.006032427947018726,-0.06795575098560186,-0.2237914564085439
caseSource,0.09072964445257183,-0.1220628422423164,-0.11467330934018814,-0.03125645892315582,-0.005233522288990029,-0.2863189133675365,0.34056644439379097,0.08179861983500589,0.1847678390053808,0.15085899012598908,-0.04081697285628454,0.9417341956114074,0.6801616395217264,1.0,0.7842388666484225,-0.051316238072069274,-0.02365472945404323,-0.06778534654238257,-0.13659025222482457,0.17737533260086027,0.028079837682805812,-0.02611029107126867,0.0058471686286390365,0.04544662566631312,-0.0021031148144467137,-0.09782753472265454,-0.09746490138117647,0.06051176290565714,0.020948226341945604,-0.13964392558741015,-0.13964392558741015,-0.21270284193528574,-0.22978316291334847,-0.0819246360837113,-0.11390896287751195,,0.012151170700790727,0.0026348616498421584,-0.10629916848812702,0.02193533203090077,0.014320878448711176,0.048451733704139445,0.009906980357128123,0.014319149309870483,0.012738246159353275,-0.1220628422423164,-0.12175247460046881,-0.06569818374883106,-0.011024002985578173,-0.049481438301733724,-0.01008052665155929,0.003653644109427537,-0.1404516108710896,-0.10727143440476163
caseSourceState,0.0700072901276149,-0.12828345596350293,-0.12994261306738614,-0.020073028404565506,0.027124088409074893,-0.23843255220977813,0.4404213901749755,0.04713776644993694,0.15596891558614825,0.20452060646167172,-0.09443862520273656,0.7494192831420846,0.8938852600712911,0.7842388666484225,1.0,-0.04058155939973561,-0.0015112850279875212,-0.05188078418224894,-0.12076727393093853,0.11439225963676568,0.000518012287505263,-0.03352630535088756,0.0007243928049427684,0.027841442800937626,-0.003960514127529906,-0.05508916227053167,-0.054814777750042454,0.04335714207793093,0.005615438045576043,-0.117341811030224,-0.117341811030224,-0.16273596490970663,-0.17478014871863518,-0.09698747785195354,-0.11816862164952131,,0.00642862281799307,0.0026557986386849743,-0.1151544146735565,0.015874817160040928,0.0061108968275692035,0.033944404581524625,0.00510785507280367,0.017642663478364316,0.018109562889015406,-0.12828345596350293,-0.12788461142577034,-0.050335349955150335,-0.010731093751138458,-0.042278677075265565,9.239114114851221e-05,-0.0026937871739773985,-0.1052932325822214,-0.11678259477971029
lcDisagreement,-0.04660661464930924,0.10656431629981827,0.1054108443516341,-0.035327409578114075,0.05311271490952966,0.029908684450525903,-0.017416271931263713,-0.08019756802155324,-0.015902205479553774,-0.0044033468264190875,-0.015995869770714214,-0.03897808630254045,-0.04624129963144872,-0.051316238072069274,-0.04058155939973561,1.0,0.07799069047148117,0.03981895159488639,0.012209042004832707,0.037120765638588266,-0.035040526658037474,-0.029684271949816203,0.07489402393108921,-0.019259129905229648,-0.017463076162866062,-0.0637685974215804,-0.06366008905404649,-0.017013010282465248,0.0061172872887612865,0.017886723266283298,0.017886723266283298,-0.013093672566992641,-0.017685766770608565,0.07688053798909326,0.08712162378632027,,-0.05180607649958809,0.05157300874726526,0.09278462496971542,-0.00798307530964526,0.010235852156438576,0.0023143944093277206,-0.009377922843367293,-0.03265306695957935,-0.01791215796744537,0.10656431629981827,0.10752055826575894,0.0758778720613208,-0.020822556711478032,0.05171275758983993,0.02796866539494393,0.02758863409618359,-0.002375995568360097,0.09323965557833767
certReason,0.07355947065419866,0.033492648475360924,0.026919304559460237,-0.0024172505054582565,-0.01638394250762718,-0.02037162796988328,-0.028886727564296437,-0.4596357208075723,-0.08498173677975421,-0.08380906889828103,-0.4065920983806012,0.04599812344741142,0.01904184397174972,-0.02365472945404323,-0.0015112850279875212,0.07799069047148117,1.0,0.0728779715211679,-0.0925390966673858,-0.14004437349585372,0.06207253116700224,-0.023453299261055962,0.09436925268044681,7.388742699514458e-05,0.002128936375710354,-0.08614603182987554,-0.08609029135634917,-0.01888629924315299,0.022848755033179537,0.053696618109192004,0.053696618109192004,0.02116080828058947,0.022763639110266312,0.033442100735657725,0.020815770121669585,,-0.026546463399565182,0.004958008392192075,0.022818793793268632,0.02527245029684262,-0.026895143937149455,-0.013354051555991226,-0.02453995297322533,-0.0193106078438184,-0.029868693081006956,0.033492648475360924,0.033941678988428474,-0.0762599578760464,-0.054951686636471375,0.04851121257348543,0.02166110053632562,0.030203925948161087,-0.03075892522333754,0.024370725490103183
lcDisposition,-0.039580381064403966,-0.002949092608476204,-0.007114322518207438,0.0888642173171262,-0.01836575017122962,0.058763570907102596,-0.009158816544022407,-0.07206628733171874,-0.059495612094928034,-0.024707583321820787,-0.014066759188658507,-0.08416376296085043,-0.061814268243287895,-0.06778534654238257,-0.05188078418224894,0.03981895159488639,0.0728779715211679,1.0,-0.003296515469634933,-0.07174350426079044,0.04619029804085686,0.009373866673572965,0.05815957979020709,-0.009620801170158946,-0.002107060915590935,0.08370647916179126,0.08348452879853087,0.007469690738938719,-0.029390932807254574,0.13671404661102618,0.13671404661102618,0.04978378864842786,0.057413623224126985,-0.027012069767311398,-0.0013013779110250202,,0.04413421478898154,-0.06046004782803292,-0.011217788725451483,-0.04807317997984967,-0.03438283298080483,0.00959743821415669,0.01697335302409768,0.018976223460806158,0.005684186744549352,-0.002949092608476204,-0.0028478316418251133,0.004504216024785584,-0.05223884148355675,0.025604226104509777,0.012556022342151262,-0.0020738688425745713,0.027418291764657935,-0.009922444865085754
lcDispositionDirection,-0.06319156991015579,0.17487959332679961,0.16329829584056998,-0.11058832456976474,0.1899354999060616,0.21469021211697503,-0.18149852193433383,0.002888232752690901,0.02766809334953569,0.07335822126450944,0.10717980219425303,-0.15730280966483803,-0.12436283697310076,-0.13659025222482457,-0.12076727393093853,0.012209042004832707,-0.0925390966673858,-0.003296515469634933,1.0,0.05715492257589174,-0.04800698739111884,0.009320683485910374,0.005948285885427369,-0.02484144229382414,-0.044284406422797934,0.08229874350374283,0.08249690424523573,-0.11171406639808555,-0.019775889742862485,-0.002858869195501366,-0.002858869195501366,-0.03090986658786546,-0.03336329500639409,0.13672632487347208,0.16785636414581825,,-0.041385202798715284,0.0581615731114257,0.16366569321252838,0.039790563882400445,0.03241556522751209,-0.17434540244028643,-0.02400329104139269,-0.022669322544430968,0.000281283974704069,0.17487959332679961,0.1744198639100853,0.07536016112385671,0.019770217281543254,-0.006347868169489139,0.009396523245498601,-0.003471773857758096,0.011451232275708219,0.16305494179690666
declarationUncon,-0.006431439689001603,0.044905603221068575,0.0474799265080318,-0.06075993834778675,0.08684339502269078,-0.08010216811830055,0.14989255575770893,0.10663325958584473,0.13800705927721815,0.12760525676683884,0.17337459891540036,0.16174982388069628,0.08417073153221405,0.17737533260086027,0.11439225963676568,0.037120765638588266,-0.14004437349585372,-0.07174350426079044,0.05715492257589174,1.0,-0.030128784798316773,0.011509811278203453,0.0026083436325195246,0.10035580064132925,-0.01795374573298613,-0.0803467075124596,-0.08011969199973766,0.17483383550569584,-0.019621125643321274,-0.07332835374234184,-0.07332835374234184,-0.14292896026232155,-0.16152938205372827,0.029484450639131948,-0.012459656129256487,,-0.045838314278350625,0.0712445958383407,0.04516757822150799,0.05145620258239378,0.06442182914718098,0.07616049284737997,-0.005352211629776383,-0.04034715063480632,-0.017655669813106168,0.044905603221068575,0.04521735269465903,0.0640419524851833,0.06701997497633912,-0.013973742361234219,-0.010809756172923476,0.004643616757601019,-0.08840359599825717,0.046040181165820156
